GeoFIPS,GeoName,homeownership_rate
1001,"Autauga, AL",74.24505856515373
1003,"Baldwin, AL",77.12122949879573
1005,"Barbour, AL",62.213908450704224
1007,"Bibb, AL",78.78017789072427
1009,"Blount, AL",79.17840375586854
1011,"Bullock, AL",64.931266452179
1013,"Butler, AL",72.39320165365181
1015,"Calhoun, AL",70.98092335478044
1017,"Chambers, AL",69.2600777261297
1019,"Cherokee, AL",78.48741229880314
1021,"Chilton, AL",73.78939741577103
1023,"Choctaw, AL",83.32373824601804
1025,"Clarke, AL",72.52121212121212
1027,"Clay, AL",76.51416929060937
1029,"Cleburne, AL",77.20614505180421
1031,"Coffee, AL",69.11319464791484
1033,"Colbert, AL",72.09805653710248
1035,"Conecuh, AL",78.52877955576785
1037,"Coosa, AL",80.59623430962343
1039,"Covington, AL",74.71320649132625
1041,"Crenshaw, AL",75.06984741027294
1043,"Cullman, AL",74.59242842830687
1045,"Dale, AL",59.666153055983564
1047,"Dallas, AL",60.75773375043448
1049,"DeKalb, AL",73.45416194679896
1051,"Elmore, AL",75.6338918748024
1053,"Escambia, AL",66.65631309209505
1055,"Etowah, AL",73.0131369322782
1057,"Fayette, AL",75.04835589941973
1059,"Franklin, AL",70.49748973071657
1061,"Geneva, AL",73.94933514510336
1063,"Greene, AL",69.32256932256932
1065,"Hale, AL",77.98558347944672
1067,"Henry, AL",84.11930043722673
1069,"Houston, AL",65.51891957659083
1071,"Jackson, AL",75.60169658709805
1073,"Jefferson, AL",63.879896253384075
1075,"Lamar, AL",72.3229302934031
1077,"Lauderdale, AL",66.93735498839906
1079,"Lawrence, AL",78.32223915309969
1081,"Lee, AL",64.06324260954976
1083,"Limestone, AL",78.06091557638139
1085,"Lowndes, AL",76.68901495616296
1087,"Macon, AL",65.90526905829597
1089,"Madison, AL",67.4021944275615
1091,"Marengo, AL",70.97130242825607
1093,"Marion, AL",73.74898930913665
1095,"Marshall, AL",74.83845480967297
1097,"Mobile, AL",63.54392736246006
1099,"Monroe, AL",72.42601936451656
1101,"Montgomery, AL",57.20712634909238
1103,"Morgan, AL",71.99056027307782
1105,"Perry, AL",72.84861257463997
1107,"Pickens, AL",76.23337623337623
1109,"Pike, AL",61.73096976016684
1111,"Randolph, AL",79.77227837806437
