,GEOID,NAME,STATE_NAME,ALAND,AWATER
1409,48171,Gillespie,Texas,2740731305,9000601
1410,48439,Tarrant,Texas,2241076690,99784211
1411,48397,Rockwall,Texas,329464269,56269481
1412,51037,Charlotte,Virginia,1231010116,5809378
1413,51147,Prince Edward,Virginia,906356801,10079281
1414,53053,Pierce,Washington,4320001331,356119653
1415,06029,Kern,California,21068632654,78405068
1416,12067,Lafayette,Florida,1407256302,11817999
1417,13113,Fayette,Georgia,503905023,12814100
1418,16013,Blaine,Idaho,6831709646,44656616
1419,18143,Scott,Indiana,493140245,6074951
1420,20031,Coffey,Kansas,1623623917,70470788
1421,21097,Harrison,Kentucky,793604330,8981053
1422,22097,St. Landry,Louisiana,2393224007,39013551
1423,27003,Anoka,Minnesota,1092881706,62440664
1424,29195,Saline,Missouri,1956761965,29542462
1425,30021,Dawson,Montana,6143260044,29884283
1426,31149,Rock,Nebraska,2611466193,8807741
1427,31075,Grant,Nebraska,2012381803,16500663
1428,38063,Nelson,North Dakota,2542889235,70073746
1429,51063,Floyd,Virginia,986585628,2190752
1430,40007,Beaver,Oklahoma,4700407073,7347161
1431,48339,Montgomery,Texas,2699237142,89879828
1432,51137,Orange,Virginia,883388069,6487125
1433,72007,Aguas Buenas,Puerto Rico,77919504,28383
1434,51015,Augusta,Virginia,2504708861,9537137
1435,54087,Roane,West Virginia,1252422354,404682
1436,13083,Dade,Georgia,450584680,488463
1437,16023,Butte,Idaho,5792474008,5259978
1438,05023,Cleburne,Arkansas,1434747664,98885396
1439,18159,Tipton,Indiana,674797598,68028
1440,08093,Park,Colorado,5681165604,43519329
1441,26095,Luce,Michigan,2328593560,2624711552
1442,27125,Red Lake,Minnesota,1119929346,227815
1443,13171,Lamar,Georgia,475264404,6044329
1444,13047,Catoosa,Georgia,419998923,771159
1445,02150,Kodiak Island,Alaska,17325452070,14147479530
1446,05085,Lonoke,Arkansas,1998042333,82719024
1447,12119,Sumter,Florida,1442978468,58762672
1448,13121,Fulton,Georgia,1364275258,19524189
1449,15007,Kauai,Hawaii,1605492716,1674243852
1450,18097,Marion,Indiana,1027221236,16566444
1451,29087,Holt,Missouri,1198369593,19839053
1452,21033,Caldwell,Kentucky,893002029,8697603
1453,30045,Judith Basin,Montana,4842466559,2066739
1454,22083,Richland,Louisiana,1439031396,22771218
1455,13169,Jones,Georgia,1020304152,3820256
1456,26137,Otsego,Michigan,1333860412,29050564
1457,31113,Logan,Nebraska,1478101945,1203586
1458,38037,Grant,North Dakota,4297393836,17563450
1459,40063,Hughes,Oklahoma,2083569822,26467409
1460,42033,Clearfield,Pennsylvania,2966379119,23934013
1461,46095,Mellette,South Dakota,3385957220,9219640
1462,48383,Reagan,Texas,3044049119,1792716
1463,48459,Upshur,Texas,1509910834,24878112
1464,51019,Bedford,Virginia,1968660755,42062887
1465,39173,Wood,Ohio,1598441996,8718771
1466,39121,Noble,Ohio,1030846430,16984489
1467,48199,Hardin,Texas,2306612364,18037857
1468,41031,Jefferson,Oregon,4614583047,26212115
1469,01003,Baldwin,Alabama,4117656514,1132955729
1470,04015,Mohave,Arizona,34530024782,333401646
1471,04019,Pima,Arizona,23798578890,5112016
1472,08023,Costilla,Colorado,3179452300,8828906
1473,12037,Franklin,Florida,1411498965,2270440522
1474,18153,Sullivan,Indiana,1158170861,17983719
1475,19119,Lyon,Iowa,1521901261,440273
1476,13055,Chattooga,Georgia,811512398,570806
1477,21145,McCracken,Kentucky,644192188,49762212
1478,29197,Schuyler,Missouri,795916404,2216011
1479,31015,Boyd,Nebraska,1398424239,11893569
1480,32003,Clark,Nevada,20439308565,438384090
1481,33009,Grafton,New Hampshire,4425249894,106463952
1482,36055,Monroe,New York,1701487467,1838259078
1483,39145,Scioto,Ohio,1580267231,16098454
1484,40035,Craig,Oklahoma,1971642558,3649781
1485,45003,Aiken,South Carolina,2773070091,24554643
1486,50003,Bennington,Vermont,1746264292,6898408
1487,46053,Gregory,South Dakota,2628707453,99900775
1488,20187,Stanton,Kansas,1762103387,178555
1489,21155,Marion,Kentucky,888485847,9869686
1490,48463,Uvalde,Texas,4019458733,17382915
1491,51135,Nottoway,Virginia,814265583,4297830
1492,72135,Toa Alta,Puerto Rico,69972568,1405465
1493,04005,Coconino,Arizona,48216135500,116631423
1494,06111,Ventura,California,4767622161,947345735
1495,09009,New Haven,Connecticut,1565143224,667604268
1496,16031,Cassia,Idaho,6644897880,39158534
1497,18147,Spencer,Indiana,1027918647,11984810
1498,21223,Trimble,Kentucky,392766463,11214924
1499,18173,Warrick,Indiana,996739079,16078776
1500,25003,Berkshire,Massachusetts,2400592216,50709699
1501,28041,Greene,Mississippi,1845983898,15430619
1502,29005,Atchison,Missouri,1417462629,7359186
1503,35031,McKinley,New Mexico,14118189398,12689169
1504,36057,Montgomery,New York,1044051406,18614750
1505,37037,Chatham,North Carolina,1765540362,70582736
1506,42095,Northampton,Pennsylvania,957745652,19058409
1507,47137,Pickett,Tennessee,422113138,29822845
1508,12045,Gulf,Florida,1433448660,624425009
1509,53071,Walla Walla,Washington,3289370358,74932288
1510,01027,Clay,Alabama,1564255426,5281616
1511,02090,Fairbanks North Star,Alaska,18997100791,259310746
1512,05037,Cross,Arkansas,1596255187,15389371
1513,16073,Owyhee,Idaho,19860558063,74129063
1514,26043,Dickinson,Michigan,1970845133,40505952
1515,30041,Hill,Montana,7509415030,44186124
1516,32005,Douglas,Nevada,1840147662,72317573
1517,35007,Colfax,New Mexico,9733113274,26296498
1518,35023,Hidalgo,New Mexico,8905761778,23581028
1519,37007,Anson,North Carolina,1376478143,14603213
1520,36053,Madison,New York,1696054036,16691322
1521,40001,Adair,Oklahoma,1486337778,8872711
1522,01013,Butler,Alabama,2012002546,2701199
1523,01117,Shelby,Alabama,2034279163,62288764
1524,13017,Ben Hill,Georgia,647802123,9814374
1525,13217,Newton,Georgia,709148422,13974069
1526,13167,Johnson,Georgia,784815230,9256633
1527,19195,Worth,Iowa,1036314929,4709127
1528,20157,Republic,Kansas,1857998463,7951912
1529,21147,McCreary,Kentucky,1105416696,10730402
1530,22085,Sabine,Louisiana,2244547678,375313525
1531,29510,St. Louis,Missouri,159896485,11563208
1532,29143,New Madrid,Missouri,1747940899,56236293
1533,30009,Carbon,Montana,5303728455,35213028
1534,34017,Hudson,New Jersey,119640822,41836491
1535,37119,Mecklenburg,North Carolina,1356133007,58206612
1536,41055,Sherman,Oregon,2133151630,19617472
1537,39025,Clermont,Ohio,1172125418,19874912
1538,12033,Escambia,Florida,1701606697,1213969815
1539,45005,Allendale,South Carolina,1056960693,11194313
1540,01127,Walker,Alabama,2048757699,36683003
1541,02158,Kusilvak,Alaska,44229388640,6686187054
1542,17089,Kane,Illinois,1345149889,12474716
1543,17099,LaSalle,Illinois,2940059892,33708940
1544,18183,Whitley,Indiana,869117984,6076514
1545,19091,Humboldt,Iowa,1125017998,3373409
1546,21229,Washington,Kentucky,769154197,10947539
1547,21119,Knott,Kentucky,910427582,3453303
1548,28111,Perry,Mississippi,1676452290,7561701
1549,17121,Marion,Illinois,1482865616,9234118
1550,21103,Henry,Kentucky,741500309,12501986
1551,21049,Clark,Kentucky,653939116,6912639
1552,21209,Scott,Kentucky,729775496,9439750
1553,27059,Isanti,Minnesota,1128608897,41203100
1554,18005,Bartholomew,Indiana,1053968851,6715105
1555,29083,Henry,Missouri,1805054746,91657543
1556,28153,Wayne,Mississippi,2099745602,7255476
1557,22059,LaSalle,Louisiana,1618363236,97655624
1558,37023,Burke,North Carolina,1311146879,20719897
1559,39149,Shelby,Ohio,1055922238,7802978
1560,39075,Holmes,Ohio,1094559493,3694365
1561,42079,Luzerne,Pennsylvania,2304768922,42104649
1562,45087,Union,South Carolina,1330180037,4792745
1563,51125,Nelson,Virginia,1219224542,8983980
1564,53077,Yakima,Washington,11122734368,41188783
1565,21191,Pendleton,Kentucky,717836498,12306254
1566,31047,Dawson,Nebraska,2623809791,16509199
1567,16039,Elmore,Idaho,7964417376,68330393
1568,26145,Saginaw,Michigan,2074053636,39287690
1569,18123,Perry,Indiana,988702369,11837413
1570,12113,Santa Rosa,Florida,2622106398,543294939
1571,28107,Panola,Mississippi,1774595233,51686997
1572,28157,Wilkinson,Mississippi,1756287539,25018736
1573,21153,Magoffin,Kentucky,798866801,1847044
1574,46021,Campbell,South Dakota,1900214169,96243697
1575,47185,White,Tennessee,975592109,7113368
1576,56009,Converse,Wyoming,11020385629,26068678
1577,72051,Dorado,Puerto Rico,59869071,79239770
1578,13213,Murray,Georgia,892235146,5719643
1579,16055,Kootenai,Idaho,3205837532,184443859
1580,51760,Richmond,Virginia,155205067,6849165
1581,51029,Buckingham,Virginia,1501215440,9911855
1582,54027,Hampshire,West Virginia,1658633561,10902927
1583,55037,Florence,Wisconsin,1264232456,24111637
1584,53019,Ferry,Washington,5706368585,140294391
1585,13293,Upson,Georgia,837774876,10585407
1586,05035,Crittenden,Arkansas,1587312625,81689126
1587,26117,Montcalm,Michigan,1826793476,39944685
1588,26055,Grand Traverse,Michigan,1202625099,354771224
1589,27005,Becker,Minnesota,3405929361,336990104
1590,27133,Rock,Minnesota,1249562287,698231
1591,27173,Yellow Medicine,Minnesota,1966062964,10687958
1592,29183,St. Charles,Missouri,1451692082,82663655
1593,21159,Martin,Kentucky,594708782,2558129
1594,48123,DeWitt,Texas,2354237965,3919919
1595,48357,Ochiltree,Texas,2376792063,1331778
1596,51580,Covington,Virginia,14163842,521492
1597,51195,Wise,Virginia,1044904721,5256126
1598,47143,Rhea,Tennessee,817071272,54409427
1599,47033,Crockett,Tennessee,687714870,545783
1600,05055,Greene,Arkansas,1495304293,5273183
1601,06037,Los Angeles,California,10513508620,1787475204
1602,08107,Routt,Colorado,6117602801,15831744
1603,13233,Polk,Georgia,803767094,4673256
1604,17151,Pope,Illinois,955362037,14662240
1605,21231,Wayne,Kentucky,1186690752,67283816
1606,06053,Monterey,California,8499623032,1267793988
1607,13087,Decatur,Georgia,1546842840,67154651
1608,19111,Lee,Iowa,1340448559,55266767
1609,20007,Barber,Kansas,2937240779,5411508
1610,20075,Hamilton,Kansas,2580958328,2893322
1611,23003,Aroostook,Maine,17278035039,404869424
1612,25021,Norfolk,Massachusetts,1025902478,124958171
1613,26003,Alger,Michigan,2369927690,10703517569
1614,22115,Vernon,Louisiana,3436185697,35140841
1615,36047,Kings,New York,179684484,71158757
1616,35033,Mora,New Mexico,4988962636,6093304
1617,40089,McCurtain,Oklahoma,4793464447,133974862
1618,41021,Gilliam,Oregon,3120213943,46914702
1619,41045,Malheur,Oregon,25609051307,108997319
1620,44003,Kent,Rhode Island,436588773,50686111
1621,46083,Lincoln,South Dakota,1495182125,1179561
1622,01035,Conecuh,Alabama,2202213384,6426488
1623,13097,Douglas,Georgia,518302399,2423527
1624,13189,McDuffie,Georgia,666590014,23114032
1625,16085,Valley,Idaho,9492613296,177110436
1626,18071,Jackson,Indiana,1320836469,10174044
1627,19001,Adair,Iowa,1474404201,2597996
1628,20069,Gray,Kansas,2250356174,1113338
1629,21051,Clay,Kentucky,1215472461,4752686
1630,21081,Grant,Kentucky,668157704,7243449
1631,27145,Stearns,Minnesota,3477910045,122236877
1632,48241,Jasper,Texas,2431105358,80399907
1633,48465,Val Verde,Texas,8144863966,227711025
1634,48277,Lamar,Texas,2349976646,66748710
1635,40145,Wagoner,Oklahoma,1455356140,74815302
1636,49019,Grand,Utah,9512361691,31552278
1637,46037,Day,South Dakota,2663773676,162143251
1638,55033,Dunn,Wisconsin,2201902840,35572613
1639,47091,Johnson,Tennessee,772956196,11007739
1640,45049,Hampton,South Carolina,1450327687,7072565
1641,47135,Perry,Tennessee,1074235994,20984700
1642,47147,Robertson,Tennessee,1233703847,457701
1643,30043,Jefferson,Montana,4291603025,6256292
1644,30059,Meagher,Montana,6194909925,7475979
1645,55097,Portage,Wisconsin,2074252980,56835087
1646,47171,Unicoi,Tennessee,481902934,825726
1647,36029,Erie,New York,2700660508,476879106
1648,51121,Montgomery,Virginia,1001929082,6282286
1649,28017,Chickasaw,Mississippi,1299608408,6380767
1650,18155,Switzerland,Indiana,571526245,7531845
1651,18177,Wayne,Indiana,1040539270,6701974
1652,21239,Woodford,Kentucky,492411608,4907895
1653,04027,Yuma,Arizona,14280774791,13253159
1654,46007,Bennett,South Dakota,3068208303,15044356
1655,37187,Washington,North Carolina,897456201,195282199
1656,72073,Jayuya,Puerto Rico,115340542,3091
1657,47177,Warren,Tennessee,1120619165,3524883
1658,18059,Hancock,Indiana,792425158,2769690
1659,29215,Texas,Missouri,3049106824,5071079
1660,31073,Gosper,Nebraska,1186616216,11831826
1661,27163,Washington,Minnesota,996415260,99954115
1662,42077,Lehigh,Pennsylvania,894402602,7479388
1663,48471,Walker,Texas,2031126325,44745757
1664,46111,Sanborn,South Dakota,1474329184,3132216
1665,47003,Bedford,Tennessee,1226719748,2980759
1666,48227,Howard,Texas,2333039143,8841781
1667,48061,Cameron,Texas,2309530382,996407283
1668,56013,Fremont,Wyoming,23785388835,212768588
1669,53037,Kittitas,Washington,5949926850,92486168
1670,15005,Kalawao,Hawaii,31057603,105764468
1671,05033,Crawford,Arkansas,1541738667,27519858
1672,31051,Dixon,Nebraska,1233120004,17111900
1673,17133,Monroe,Illinois,997924046,33755286
1674,17059,Gallatin,Illinois,836413648,13357002
1675,34003,Bergen,New Jersey,602918747,35387155
1676,37013,Beaufort,North Carolina,2156776424,336988229
1677,19169,Story,Iowa,1482882553,2862354
1678,37091,Hertford,North Carolina,914689325,18737418
1679,13139,Hall,Georgia,1017835152,93987564
1680,29151,Osage,Missouri,1571034360,17734586
1681,29115,Linn,Missouri,1594366554,14989603
1682,13049,Charlton,Georgia,2020415648,5963237
1683,13011,Banks,Georgia,602473937,4635947
1684,21127,Lawrence,Kentucky,1076387821,11582520
1685,48001,Anderson,Texas,2752164826,39845046
1686,30013,Cascade,Montana,6988324590,34310133
1687,31009,Blaine,Nebraska,1840681023,9443894
1688,28003,Alcorn,Mississippi,1036110409,3408033
1689,36121,Wyoming,New York,1535219438,9158067
1690,39009,Athens,Ohio,1304431981,12361693
1691,50007,Chittenden,Vermont,1390433437,217071279
1692,47189,Wilson,Tennessee,1478548410,32071810
1693,48139,Ellis,Texas,2423575743,41976116
1694,48027,Bell,Texas,2729408790,94385005
1695,49011,Davis,Utah,774579293,870613585
1696,40117,Pawnee,Oklahoma,1472027960,68849518
1697,49027,Millard,Utah,17574363572,133311815
1698,55133,Waukesha,Wisconsin,1423769973,79817326
1699,51107,Loudoun,Virginia,1335755877,14493733
1700,56023,Lincoln,Wyoming,10555073814,49947312
1701,54043,Lincoln,West Virginia,1132065764,4053564
1702,31027,Cedar,Nebraska,1917222688,14511196
1703,35019,Guadalupe,New Mexico,7847072132,2887948
1704,08017,Cheyenne,Colorado,4605713960,8166129
1705,39047,Fayette,Ohio,1052469885,1694038
1706,39159,Union,Ohio,1118250204,13288885
1707,48051,Burleson,Texas,1707015709,46043236
1708,51735,Poquoson,Virginia,39773690,163429842
1709,46129,Walworth,South Dakota,1832300801,96288709
1710,55125,Vilas,Wisconsin,2221459142,414414740
1711,01129,Washington,Alabama,2797712949,21660030
1712,08063,Kit Carson,Colorado,5596501951,2251929
1713,12071,Lee,Florida,2022803065,1900583561
1714,09011,New London,Connecticut,1722511318,276863144
1715,18167,Vigo,Indiana,1045373538,17688023
1716,01029,Cleburne,Alabama,1450666453,2352217
1717,22033,East Baton Rouge,Louisiana,1179744891,38443657
1718,01001,Autauga,Alabama,1539634184,25674812
1719,01097,Mobile,Alabama,3184064142,1074011171
1720,26011,Arenac,Michigan,940627660,822313309
1721,48307,McCulloch,Texas,2759893532,20286193
1722,26125,Oakland,Michigan,2246276778,103456215
1723,72103,Naguabo,Puerto Rico,133801410,53350090
1724,72059,Guayanilla,Puerto Rico,109480383,56911386
1725,72003,Aguada,Puerto Rico,79923637,38025989
1726,28025,Clay,Mississippi,1062082196,15376919
1727,46089,McPherson,South Dakota,2943956443,38506560
1728,28039,George,Mississippi,1239816906,12838126
1729,53041,Lewis,Washington,6223175362,86929744
1730,72071,Isabela,Puerto Rico,143255842,94636935
1731,72093,Maricao,Puerto Rico,94851744,12487
1732,72119,Río Grande,Puerto Rico,157008569,74876349
1733,54075,Pocahontas,West Virginia,2435206742,4094092
1734,72085,Las Piedras,Puerto Rico,87748418,32509
1735,54081,Raleigh,West Virginia,1567871999,10328839
1736,54109,Wyoming,West Virginia,1293620955,6083278
1737,29111,Lewis,Missouri,1307988621,14965606
1738,04003,Cochise,Arizona,16083178109,17664572
1739,38015,Burleigh,North Dakota,4228659157,92691317
1740,46107,Potter,South Dakota,2230336533,97172021
1741,40151,Woods,Oklahoma,3331971784,9081295
1742,47013,Campbell,Tennessee,1243685304,46425147
1743,38057,Mercer,North Dakota,2700790005,180823535
1744,45069,Marlboro,South Carolina,1242867261,14489019
1745,38085,Sioux,North Dakota,2833580511,88449896
1746,34005,Burlington,New Jersey,2070137466,54133685
1747,06001,Alameda,California,1910017353,216902808
1748,49053,Washington,Utah,6287037041,7781671
1749,21061,Edmonson,Kentucky,784468401,13258105
1750,06005,Amador,California,1539965777,29438413
1751,21125,Laurel,Kentucky,1124025614,25134447
1752,47157,Shelby,Tennessee,1969826791,51308328
1753,47167,Tipton,Tennessee,1180026940,32703276
1754,20133,Neosho,Kansas,1480129682,16350961
1755,21135,Lewis,Kentucky,1250550862,31893475
1756,20205,Wilson,Kansas,1477385742,12048762
1757,26071,Iron,Michigan,3019919276,116800609
1758,21141,Logan,Kentucky,1430224002,12479211
1759,20203,Wichita,Kansas,1861078197,61987
1760,21143,Lyon,Kentucky,553848612,110565602
1761,27045,Fillmore,Minnesota,2230843182,2055817
1762,48325,Medina,Texas,3432668370,23757602
1763,27063,Jackson,Minnesota,1820689892,42120424
1764,21173,Montgomery,Kentucky,511135381,3853437
1765,49049,Utah,Utah,5190543922,362967850
1766,20165,Rush,Kansas,1858997559,544720
1767,50015,Lamoille,Vermont,1194643959,12744800
1768,53029,Island,Washington,539943912,799920796
1769,31107,Knox,Nebraska,2870854403,81011712
1770,50013,Grand Isle,Vermont,211772078,288966533
1771,51820,Waynesboro,Virginia,38771593,364644
1772,13069,Coffee,Georgia,1533994969,26861152
1773,32019,Lyon,Nevada,5187939862,59489121
1774,35001,Bernalillo,New Mexico,3007611393,15882874
1775,72109,Patillas,Puerto Rico,120695655,74074553
1776,19131,Mitchell,Iowa,1215368212,1118491
1777,19049,Dallas,Iowa,1523679836,8567941
1778,72133,Santa Isabel,Puerto Rico,88182043,111103138
1779,12115,Sarasota,Florida,1440049632,1086617983
1780,16069,Nez Perce,Idaho,2197139835,21252880
1781,20119,Meade,Kansas,2533222397,3258258
1782,21075,Fulton,Kentucky,533351953,64091345
1783,23007,Franklin,Maine,4395223704,121287619
1784,33015,Rockingham,New Hampshire,1801055122,258626550
1785,36063,Niagara,New York,1352887560,1598842379
1786,42039,Crawford,Pennsylvania,2621988043,65389924
1787,39105,Meigs,Ohio,1113957873,7519818
1788,48387,Red River,Texas,2703677245,33255080
1789,39053,Gallia,Ohio,1208305870,12087309
1790,46135,Yankton,South Dakota,1349873577,28676615
1791,05065,Izard,Arkansas,1502652313,9576574
1792,16059,Lemhi,Idaho,11819914566,14105634
1793,48073,Cherokee,Texas,2727141726,23873001
1794,22015,Bossier,Louisiana,2174347389,70950350
1795,22017,Caddo,Louisiana,2277812586,149099519
1796,06013,Contra Costa,California,1856838508,225278783
1797,35057,Torrance,New Mexico,8664061384,2316559
1798,35039,Rio Arriba,New Mexico,15179593238,91463246
1799,53049,Pacific,Washington,2418037245,758680651
1800,38055,McLean,North Dakota,5465546323,563843611
1801,16083,Twin Falls,Idaho,4977216128,18060754
1802,21175,Morgan,Kentucky,987114235,6889951
1803,33011,Hillsborough,New Hampshire,2270191096,41320770
1804,48245,Jefferson,Texas,2270802079,610951820
1805,53005,Benton,Washington,4403309851,154293639
1806,53039,Klickitat,Washington,4847515939,84930636
1807,45047,Greenwood,South Carolina,1180009081,21260069
1808,56001,Albany,Wyoming,11070455491,89161376
1809,08069,Larimer,Colorado,6723017943,98980718
1810,20113,McPherson,Kansas,2326547430,6003328
1811,51001,Accomack,Virginia,1163725929,2229259960
1812,37131,Northampton,North Carolina,1390049342,35874601
1813,17113,McLean,Illinois,3064597291,7804856
1814,12047,Hamilton,Florida,1332018549,12330813
1815,37047,Columbus,North Carolina,2429722353,43711694
1816,13229,Pierce,Georgia,881777233,7183926
1817,13299,Ware,Georgia,2329020623,22655303
1818,02220,Sitka,Alaska,7433415763,5037747535
1819,15009,Maui,Hawaii,3008348851,3203294213
1820,41051,Multnomah,Oregon,1116611406,88173924
