STATE,COUNTY,STATE_NAME,COUNTY_NAME,POP_COU,HOU_COU,ALAND_COU,ALAND_Mi²_COU,POPDEN_COU,HOUDEN_COU,TOTALBLOCKS,POP_URB,POPPCT_URB,HOU_URB,HOUPCT_URB,ALAND_URB,ALAND_Mi²_URB,ALAND_PCT_URB,POPDEN_URB,HOUDEN_URB,URBANBLOCKS,POP_RUR,POPPCT_RUR,HOU_RUR,HOUPCT_RUR,ALAND_RUR,ALAND_Mi²_RUR,ALAND_PCT_RUR,POPDEN_RUR,HOUDEN_RUR,RURALBLOCKS
01,001,Alabama,Autauga,58805,24350,1539634184,594.4527584424,98.9229155132232,40.9620439205337,1512,34885,0.593231868038432,14359,0.589691991786448,55907164,21.5857560204,0.0363119788979692,1616.11203087033,665.207185072868,521,23920,0.406768131961568,9991,0.410308008213552,1483727020,572.867002422,0.963688021102031,41.7548923203285,17.4403482095486,991
01,003,Alabama,Baldwin,231767,124148,4117656199,1589.8270584339,145.781265182584,78.0889967505618,6337,144654,0.624135446375023,83408,0.671843283822534,355056178,137.0871903258,0.0862277375382208,1055.1970585743,608.430297548395,3156,87113,0.375864553624977,40740,0.328156716177466,3762600021,1452.7398681081,0.913772262461779,59.9646240269065,28.0435616137221,3181
01,005,Alabama,Barbour,25223,11618,2292160149,885.0030335289,28.500467280236,13.1276386179987,1283,8596,0.340800063434167,4080,0.351179204682389,16132419,6.2287269759,0.00703808545272811,1380.0572786798,655.029513379895,272,16627,0.659199936565833,7538,0.648820795317611,2276027730,878.774306553,0.992961914547272,18.9206715262529,8.57785661664128,1011
01,007,Alabama,Bibb,22293,9002,1612188717,622.4660636337,35.8140006378222,14.461832581603,1090,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,22293,1.0,9002,1.0,1612188717,622.4660636337,1.0,35.8140006378222,14.461832581603,1090
01,009,Alabama,Blount,59134,24622,1670259090,644.887034649,91.6966799188102,38.1803303169233,2404,5624,0.0951060303716982,2285,0.0928031841442612,11325973,4.3729581753,0.00678096773596963,1286.08593417754,522.52958029795,197,53510,0.904893969628302,22337,0.907196815855739,1658933117,640.5140764737,0.99321903226403,83.5422701318215,34.8735505126985,2207
01,011,Alabama,Bullock,10357,4516,1613083467,622.8115266087,16.6294289002572,7.25098975703016,573,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,10357,1.0,4516,1.0,1613083467,622.8115266087,1.0,16.6294289002572,7.25098975703016,573
01,013,Alabama,Butler,19051,9806,2012002546,776.8341830106,24.5238950816613,12.623028458914,1238,5823,0.305653246548738,2890,0.294717519885784,14521137,5.6066109957,0.00721725577776679,1038.59533048859,515.462906596604,196,13228,0.694346753451262,6916,0.705282480114216,1997481409,771.2275720149,0.992782744222233,17.1518764110581,8.96752171597203,1042
01,015,Alabama,Calhoun,116441,53052,1569246127,605.8859296347,192.183040246874,87.5610365006925,4873,73947,0.635059815700655,34203,0.644707079846189,189727188,73.2536672868,0.120903397329207,1009.4648191535,466.911777482617,2816,42494,0.364940184299345,18849,0.355292920153811,1379518939,532.6322623479,0.879096602670793,79.7811229321369,35.3883933295959,2057
01,017,Alabama,Chambers,34772,16373,1545085601,596.5575505461,58.2877544139188,27.4458013061973,1717,17127,0.492551478200851,7985,0.487693153362243,40703667,15.7156858287,0.0263439559424125,1089.80290053411,508.091093639565,655,17645,0.507448521799149,8388,0.512306846637757,1504381934,580.8418647174,0.973656044057588,30.3783199383965,14.441107829032,1062
01,019,Alabama,Cherokee,24971,14513,1433620850,553.521010185,45.1130120456568,26.2194202802698,1565,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,24971,1.0,14513,1.0,1433620850,553.521010185,1.0,45.1130120456568,26.2194202802698,1565
01,021,Alabama,Chilton,45014,19438,1794438835,692.8328341935,64.970939277725,28.0558296903279,1749,6507,0.144555027324832,2891,0.148729293137154,23885561,9.2222151021,0.0133108805572635,705.578858003245,313.482169738341,248,38507,0.855444972675168,16547,0.851270706862846,1770553274,683.6106190914,0.986689119442736,56.3288499689785,24.2052998269584,1501
01,023,Alabama,Choctaw,12665,7104,2365900081,913.4740212741,13.864652639311,7.77690425184883,852,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,12665,1.0,7104,1.0,2365900081,913.4740212741,1.0,13.864652639311,7.77690425184883,852
01,025,Alabama,Clarke,23087,11655,3207494086,1238.4134666046,18.6424006380506,9.41123486968767,1282,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,23087,1.0,11655,1.0,3207494086,1238.4134666046,1.0,18.6424006380506,9.41123486968767,1282
