GeoFIPS,GeoName,roadDensity,WeightAvgNatWalkInd
1001,"Autauga, AL",-0.27962758257409703,-0.2707910528951383
1003,"Baldwin, AL",-0.09550277160944087,0.03712235872058212
1005,"Barbour, AL",-0.4711179443446434,-0.36172032185607383
1007,"Bibb, AL",-0.29970411698722166,-0.33805101353536615
1009,"Blount, AL",0.001908060940073207,-0.4956730884444628
1011,"Bullock, AL",-0.5614531577873648,-0.543908024656812
1013,"Butler, AL",-0.4111589126349675,-0.2708928805131182
1015,"Calhoun, AL",0.03378423734610441,-0.20200900436596492
1017,"Chambers, AL",-0.22269231735382677,-0.33540043807863995
1019,"Cherokee, AL",-0.15062999218072426,-0.5932271450113717
1021,"Chilton, AL",-0.10389942689172915,-0.4845957084383852
1023,"Choctaw, AL",-0.5405442613117712,-0.69885318875324
1025,"Clarke, AL",-0.5560724623912607,-0.3471440621219768
1027,"Clay, AL",-0.295846223194999,-0.6023456444391966
1029,"Cleburne, AL",-0.30799084463512394,-0.5160200792543221
1031,"Coffee, AL",-0.2201149515327303,-0.12327680017141907
1033,"Colbert, AL",-0.17843911289573267,0.002701421677235272
1035,"Conecuh, AL",-0.4636592121637989,-0.5032102154845022
1037,"Coosa, AL",-0.43880640003722027,-0.8369694091862998
1039,"Covington, AL",-0.21338818586287955,-0.3497588096158579
1041,"Crenshaw, AL",-0.4121064072921843,-0.3742856155717025
1043,"Cullman, AL",0.015373468857429495,-0.37765927435785973
1045,"Dale, AL",-0.09904550262813239,-0.36548523824301693
1047,"Dallas, AL",-0.38178499384710807,-0.09579357107154896
1049,"DeKalb, AL",0.015581967616214961,-0.4428434050731602
1051,"Elmore, AL",0.000846468170019936,-0.30146054772764186
1053,"Escambia, AL",-0.3437311400780543,-0.23887418525058157
1055,"Etowah, AL",0.036355473997859086,-0.1457320180964079
1057,"Fayette, AL",-0.28395129888236825,-0.5824751018145607
1059,"Franklin, AL",-0.18668771504276405,-0.38027078431890804
1061,"Geneva, AL",-0.12962059746861332,-0.4992186197589431
1063,"Greene, AL",-0.4918012001246612,-0.7231351212438297
1065,"Hale, AL",-0.42271778546619476,-0.43477160116627656
1067,"Henry, AL",-0.32364817884407593,-0.4730539664175727
1069,"Houston, AL",0.015471945033145166,0.02372697891400737
1071,"Jackson, AL",-0.36275246212104817,-0.4862766631922697
1073,"Jefferson, AL",0.09856358047665252,0.2575380705812175
1075,"Lamar, AL",-0.2235132130409917,-0.44783978635729316
1077,"Lauderdale, AL",0.006578509152483478,-0.12882156763070185
1079,"Lawrence, AL",-0.25824244416187503,-0.7781896149585155
1081,"Lee, AL",0.013347493288184242,-0.06668412460802275
1083,"Limestone, AL",0.006442628091861079,-0.36265630402817184
