GeoFIPS,GeoName,Year,Value
1001,"Autauga, AL",1998,-0.09638024945287438
1003,"Baldwin, AL",1998,-0.10476918748119046
1005,"Barbour, AL",1998,0.2216196446186205
1007,"Bibb, AL",1998,0.06143683071031436
1009,"Blount, AL",1998,-0.05143644639485345
1011,"Bullock, AL",1998,0.3584260026134134
1013,"Butler, AL",1998,0.24033828329603613
1015,"Calhoun, AL",1998,0.03889543464787315
1017,"Chambers, AL",1998,0.05862210764694886
1019,"Cherokee, AL",1998,0.03889543464787315
1021,"Chilton, AL",1998,0.036074501265498604
1023,"Choctaw, AL",1998,0.17823607727869772
1025,"Clarke, AL",1998,0.17276029592194564
1027,"Clay, AL",1998,-0.0062833241221180725
1029,"Cleburne, AL",1998,-0.009108059546243497
1031,"Coffee, AL",1998,-0.0062833241221180725
1033,"Colbert, AL",1998,-0.0204050971162808
1035,"Conecuh, AL",1998,0.30053344334154053
1037,"Coosa, AL",1998,0.03043095436108567
1039,"Covington, AL",1998,0.13969219630601715
1041,"Crenshaw, AL",1998,0.15902473159037434
1043,"Cullman, AL",1998,-0.04298067068304556
1045,"Dale, AL",1998,0.06143683071031436
1047,"Dallas, AL",1998,0.3584260026134134
1049,"DeKalb, AL",1998,0.04171574819485535
1051,"Elmore, AL",1998,-0.059884853594844856
1053,"Escambia, AL",1998,0.15351290614084778
1055,"Etowah, AL",1998,0.04171574819485535
1057,"Fayette, AL",1998,0.055806452184897326
1059,"Franklin, AL",1998,0.06425057693750102
1061,"Geneva, AL",1998,0.10910167829789108
1063,"Greene, AL",1998,0.4682677312274799
1065,"Hale, AL",1998,0.29280466899423896
1067,"Henry, AL",1998,0.07268551117386157
1069,"Houston, AL",1998,0.04171574819485535
1071,"Jackson, AL",1998,-0.009108059546243497
1073,"Jefferson, AL",1998,-0.017581213448000566
1075,"Lamar, AL",1998,0.07268551117386157
1077,"Lauderdale, AL",1998,-0.03451873286049312
1079,"Lawrence, AL",1998,0.01349010700343034
1081,"Lee, AL",1998,-0.003458488419551542
1083,"Limestone, AL",1998,-0.04861861371927745
1085,"Lowndes, AL",1998,0.3803791432846151
1087,"Macon, AL",1998,0.3971639226446302
1089,"Madison, AL",1998,-0.11314324219096317
1091,"Marengo, AL",1998,0.21624064944370458
1093,"Marion, AL",1998,0.036074501265498604
1095,"Marshall, AL",1998,0.02478546656390379
1097,"Mobile, AL",1998,0.1202525738763831
1099,"Monroe, AL",1998,0.16177695386166713
1101,"Montgomery, AL",1998,0.06425057693750102
1103,"Morgan, AL",1998,-0.09638024945287438
1105,"Perry, AL",1998,0.48139513119874944
1107,"Pickens, AL",1998,0.20544347871704427
1109,"Pike, AL",1998,0.23233698458062402
1111,"Randolph, AL",1998,0.07830310471460988
1113,"Russell, AL",1998,0.09232458487190431
1115,"St. Clair, AL",1998,-0.04298067068304556
1117,"Shelby, AL",1998,-0.22818674678409567
1119,"Sumter, AL",1998,0.3971639226446302
1121,"Talladega, AL",1998,0.10910167829789108
1123,"Tallapoosa, AL",1998,0.03889543464787315
1125,"Tuscaloosa, AL",1998,0.04171574819485535
1127,"Walker, AL",1998,-0.0062833241221180725
1129,"Washington, AL",1998,0.11746758065829854
1131,"Wilcox, AL",1998,0.4921724226541895
1133,"Winston, AL",1998,0.027608430611044232
2013,"Aleutians East Borough, AK",1998,-0.0739458947938535
2016,"Aleutians West Census Area, AK",1998,-0.23620449229936769
2020,"Anchorage Municipality, AK",1998,-0.16850529154674743
2050,"Bethel Census Area, AK",1998,0.4299422660616319
2060,"Bristol Bay Borough, AK",1998,-0.18765185732164524
2068,"Denali Borough, AK",1998,-0.23620449229936769
2070,"Dillingham Census Area, AK",1998,0.3360691665741331
2090,"Fairbanks North Star Borough, AK",1998,-0.1630107307248626
2100,"Haines Borough, AK",1998,-0.05425346031218714
2110,"Juneau City and Borough, AK",1998,-0.22818674678409567
2122,"Kenai Peninsula Borough, AK",1998,-0.09638024945287438
2130,"Ketchikan Gateway Borough, AK*",1998,-0.1794627383946893
2150,"Kodiak Island Borough, AK",1998,-0.16850529154674743
2164,"Lake and Peninsula Borough, AK",1998,0.27723260233149016
2170,"Matanuska-Susitna Borough, AK",1998,-0.10756225021375432
2180,"Nome Census Area, AK",1998,0.24830705498000039
2185,"North Slope Borough, AK",1998,-0.22550721256284068
2188,"Northwest Arctic Borough, AK",1998,0.13414832053514547
2220,"Sitka City and Borough, AK",1998,-0.17124867253753762
2240,"Southeast Fairbanks Census Area, AK",1998,0.12303567560623274
2290,"Yukon-Koyukuk Census Area, AK",1998,0.21624064944370458
4001,"Apache, AZ",1998,0.5934619196917996
4003,"Cochise, AZ",1998,0.18370084162500144
4005,"Coconino, AZ",1998,0.1424608760435786
4007,"Gila, AZ",1998,0.17001837290834887
4009,"Graham, AZ",1998,0.19459606367493643
4011,"Greenlee, AZ",1998,-0.11314324219096317
4012,"La Paz, AZ",1998,0.25887986477162883
4013,"Maricopa, AZ",1998,-0.076754758617253
4015,"Mohave, AZ",1998,0.09232458487190431
4017,"Navajo, AZ",1998,0.35349208098655516
4019,"Pima, AZ",1998,0.033252992880201226
4021,"Pinal, AZ",1998,0.10630954591783914
4023,"Santa Cruz, AZ",1998,0.3234809856033629
4025,"Yavapai, AZ",1998,-0.04016064973749989
4027,"Yuma, AZ",1998,0.3410713213441845
5001,"Arkansas, AR",1998,0.08672006989725944
5003,"Ashley, AR",1998,0.10910167829789108
5005,"Baxter, AR",1998,-0.02322865525302953
5007,"Benton, AR",1998,-0.14370212865542853
5009,"Boone, AR",1998,0.033252992880201226
5011,"Bradley, AR",1998,0.1507533844866007
5013,"Calhoun, AR",1998,0.01913839745115009
5015,"Carroll, AR",1998,0.03043095436108567
5017,"Chicot, AR",1998,0.399540556322324
5019,"Clark, AR",1998,0.09792325614428354
5021,"Clay, AR",1998,0.05298990882086918
5023,"Cleburne, AR",1998,0.021962107181566548
5025,"Cleveland, AR",1998,0.021962107181566548
5027,"Columbia, AR",1998,0.17276029592194564
5029,"Conway, AR",1998,0.050172522107992945
5031,"Craighead, AR",1998,0.01349010700343034
5033,"Crawford, AR",1998,0.016314382382121684
5035,"Crittenden, AR",1998,0.24299820139417005
5037,"Cross, AR",1998,0.17549954395932077
5039,"Dallas, AR",1998,0.1313732080056469
5041,"Desha, AR",1998,0.287630739641461
