GeoFIPS,GeoName,Year,Value
1001,"Autauga, AL",2010,-0.02563328765719186
1001,"Autauga, AL",2011,-0.026334035463190686
1001,"Autauga, AL",2012,-0.026346329055362938
1001,"Autauga, AL",2013,-0.025325934140093653
1001,"Autauga, AL",2014,-0.024354665829921518
1001,"Autauga, AL",2015,-0.026764306423297857
1001,"Autauga, AL",2016,-0.023592372329517497
1001,"Autauga, AL",2017,-0.02463744497402187
1001,"Autauga, AL",2018,-0.022473472757137625
1001,"Autauga, AL",2019,-0.021920149791690324
1001,"Autauga, AL",2020,-0.020813463911876107
1001,"Autauga, AL",2021,-0.021293034214634576
1003,"Baldwin, AL",2010,0.011057891327747482
1003,"Baldwin, AL",2011,0.014465022374840597
1003,"Baldwin, AL",2012,0.013284245626523639
1003,"Baldwin, AL",2013,0.012287936292778578
1003,"Baldwin, AL",2014,0.013997636219411635
1003,"Baldwin, AL",2015,0.019605807991836866
1003,"Baldwin, AL",2016,0.023405402698968514
1003,"Baldwin, AL",2017,0.024253767425235884
1003,"Baldwin, AL",2018,0.0326738473581194
1003,"Baldwin, AL",2019,0.03237890866678095
1003,"Baldwin, AL",2020,0.03177672471723736
1003,"Baldwin, AL",2021,0.036581228047282144
1005,"Barbour, AL",2010,-0.037001471780589545
1005,"Barbour, AL",2011,-0.036006327373567015
1005,"Barbour, AL",2012,-0.03576060163581851
1005,"Barbour, AL",2013,-0.0362520487575424
1005,"Barbour, AL",2014,-0.03590803759926087
1005,"Barbour, AL",2015,-0.036006327373567015
1005,"Barbour, AL",2016,-0.03705061282907407
1005,"Barbour, AL",2017,-0.03759115248384637
1005,"Barbour, AL",2018,-0.037026042327215514
1005,"Barbour, AL",2019,-0.03681719125692484
1005,"Barbour, AL",2020,-0.03695233055315417
1005,"Barbour, AL",2021,-0.03658376566724497
1007,"Bibb, AL",2010,-0.03584660613741819
1007,"Bibb, AL",2011,-0.03573602882372695
1007,"Bibb, AL",2012,-0.03631347841978627
1007,"Bibb, AL",2013,-0.037320885386395775
1007,"Bibb, AL",2014,-0.03717346466581861
1007,"Bibb, AL",2015,-0.038021111516368666
1007,"Bibb, AL",2016,-0.038070248798139916
1007,"Bibb, AL",2017,-0.03792283640145799
