GeoFIPS,GeoName,expected_population_loss_rate
1001,"Autauga, AL",0.0002574864572047
1003,"Baldwin, AL",0.0001633026359065
1005,"Barbour, AL",0.0004849493316509
1007,"Bibb, AL",0.0006
1009,"Blount, AL",0.0005848910386435
1011,"Bullock, AL",0.0006
1013,"Butler, AL",0.000468004841638
1015,"Calhoun, AL",0.0010546964700134
1017,"Chambers, AL",0.0002111913250148
1019,"Cherokee, AL",0.0011348067791375
1021,"Chilton, AL",0.0005336147996822
1023,"Choctaw, AL",0.0010770135396518
1025,"Clarke, AL",0.0003580404509283
1027,"Clay, AL",0.0005999999999999
1029,"Cleburne, AL",0.0007705752212389
1031,"Coffee, AL",0.0004484611513297
1033,"Colbert, AL",0.000691276405397
1035,"Conecuh, AL",0.0004
1037,"Coosa, AL",0.0003321558055219
1039,"Covington, AL",0.000425317204301
1041,"Crenshaw, AL",0.0005280915920254
1043,"Cullman, AL",0.0002491955632264
1045,"Dale, AL",0.0004383201087728
1047,"Dallas, AL",0.000443776341669
1049,"DeKalb, AL",0.0006076917683354
1051,"Elmore, AL",0.0002074336981169
1053,"Escambia, AL",0.0003966726934182
1055,"Etowah, AL",0.0008781260949118
1057,"Fayette, AL",0.000374275494119
1059,"Franklin, AL",0.0013
1061,"Geneva, AL",0.000221262823182
1063,"Greene, AL",0.0007209875060067
1065,"Hale, AL",0.0005639138361807
1067,"Henry, AL",0.0005607307535166
1069,"Houston, AL",0.0005432169395044
1071,"Jackson, AL",0.0008368317519092
1073,"Jefferson, AL",0.0002106735083676
1075,"Lamar, AL",0.0009
1077,"Lauderdale, AL",0.0006992048057392
1079,"Lawrence, AL",0.0013137394881723
1081,"Lee, AL",0.0001070635176727
1083,"Limestone, AL",0.0005142926515143
1085,"Lowndes, AL",0.0008492112312729
1087,"Macon, AL",0.0001332317725037
1089,"Madison, AL",0.0005112116176616
1091,"Marengo, AL",0.0006610630919724
1093,"Marion, AL",0.0007
1095,"Marshall, AL",0.0010904906788787
1097,"Mobile, AL",0.000390696764659
1099,"Monroe, AL",0.0002698166431593
1101,"Montgomery, AL",0.0002624862849815
1103,"Morgan, AL",0.0014600823735666
1105,"Perry, AL",0.0005632196276767
1107,"Pickens, AL",0.0006270562663636
1109,"Pike, AL",0.0002054720547205
