GeoFIPS,GeoName,homeownership_rate
1001,"Autauga, AL",75.4527523758293
1003,"Baldwin, AL",77.87053148609061
1005,"Barbour, AL",64.97338065661047
1007,"Bibb, AL",75.73447893569845
1009,"Blount, AL",79.2749468232683
1011,"Bullock, AL",64.66666666666666
1013,"Butler, AL",70.77548730893282
1015,"Calhoun, AL",70.9149083749133
1017,"Chambers, AL",72.17530244236475
1019,"Cherokee, AL",79.74392317695309
1021,"Chilton, AL",75.0103360699309
1023,"Choctaw, AL",81.98163733741393
1025,"Clarke, AL",72.25207620908647
1027,"Clay, AL",78.34092980856883
1029,"Cleburne, AL",78.04200659607707
1031,"Coffee, AL",69.46422432843885
1033,"Colbert, AL",71.00489985386402
1035,"Conecuh, AL",74.6912194026499
1037,"Coosa, AL",81.24531132783196
1039,"Covington, AL",74.97534169367339
1041,"Crenshaw, AL",74.58152510849348
1043,"Cullman, AL",76.1984011411929
1045,"Dale, AL",60.14948453608248
1047,"Dallas, AL",61.41123839219141
1049,"DeKalb, AL",73.8575321136629
1051,"Elmore, AL",77.09420830226199
1053,"Escambia, AL",67.14790354784212
1055,"Etowah, AL",73.35206620092289
1057,"Fayette, AL",75.84242226924955
1059,"Franklin, AL",73.23605302962896
1061,"Geneva, AL",75.7386199595804
1063,"Greene, AL",73.53760445682451
1065,"Hale, AL",77.49398482324634
1067,"Henry, AL",81.57343703260544
1069,"Houston, AL",65.46469922730664
1071,"Jackson, AL",76.1151427189163
1073,"Jefferson, AL",64.09324514473614
1075,"Lamar, AL",74.65170278637771
1077,"Lauderdale, AL",67.51314172136935
1079,"Lawrence, AL",79.43721256528178
1081,"Lee, AL",65.24414572016082
1083,"Limestone, AL",77.69366379757336
1085,"Lowndes, AL",77.48062984253936
1087,"Macon, AL",62.95049782639182
1089,"Madison, AL",68.02386428441615
1091,"Marengo, AL",68.2748339883453
1093,"Marion, AL",72.88981666364131
1095,"Marshall, AL",75.3771221820206
1097,"Mobile, AL",63.49049215250149
1099,"Monroe, AL",72.41710057550014
1101,"Montgomery, AL",57.23186322042777
1103,"Morgan, AL",72.74810432463961
1105,"Perry, AL",70.14634146341463
1107,"Pickens, AL",74.16349004659043
1109,"Pike, AL",63.02934311437146
1111,"Randolph, AL",79.24160843166457
1113,"Russell, AL",61.16699343619469
1115,"St. Clair, AL",81.73650924995567
1117,"Shelby, AL",80.9420359052712
1119,"Sumter, AL",69.2788661942476
1121,"Talladega, AL",71.92743904323372
1123,"Tallapoosa, AL",75.48971894391046
1125,"Tuscaloosa, AL",62.29659086886232
1127,"Walker, AL",77.48199692531759
1129,"Washington, AL",88.4126407555394
1131,"Wilcox, AL",79.46353730092206
1133,"Winston, AL",78.23794353509832
2013,"Aleutians East Borough, AK",58.84315906562848
2016,"Aleutians West Census Area, AK",27.657378740970078
2020,"Anchorage Municipality, AK",63.80420781451267
2050,"Bethel Census Area, AK",58.99233296823658
2060,"Bristol Bay Borough, AK",50.70422535211267
2068,"Denali Borough, AK",86.85714285714286
2070,"Dillingham Census Area, AK",60.76589595375722
2090,"Fairbanks North Star Borough, AK",59.99888343010272
2100,"Haines Borough, AK",69.72010178117048
2110,"Juneau City and Borough, AK",64.26211876776523
