GeoFIPS,GeoName,Year,total_obligated_amount
1001,"Autauga, AL",2018,-1.0
1003,"Baldwin, AL",2010,-0.9840552196858869
1003,"Baldwin, AL",2011,-0.9924977265238554
1003,"Baldwin, AL",2012,-0.9924977265238554
1003,"Baldwin, AL",2013,-0.9924977265238554
1003,"Baldwin, AL",2014,-0.9881805390146816
1003,"Baldwin, AL",2015,-0.9940084474918073
1003,"Baldwin, AL",2016,-0.9885548048339692
1003,"Baldwin, AL",2017,-0.9830463778357884
1003,"Baldwin, AL",2018,-0.9830249015575534
1003,"Baldwin, AL",2019,-0.977877371542228
1003,"Baldwin, AL",2020,-0.9905667543033319
1003,"Baldwin, AL",2021,-0.9952240600185612
1005,"Barbour, AL",2018,-1.0
1007,"Bibb, AL",2012,-0.9957309224289235
1007,"Bibb, AL",2013,-0.97829561646417
1007,"Bibb, AL",2014,-0.97829561646417
1007,"Bibb, AL",2015,-0.9717125022673313
1007,"Bibb, AL",2016,-0.9715265876214885
1007,"Bibb, AL",2017,-0.9642254820637549
1007,"Bibb, AL",2018,-0.9250332340160923
1007,"Bibb, AL",2019,-0.8845077318172008
1007,"Bibb, AL",2020,-0.8716853061607608
1007,"Bibb, AL",2021,-0.8865686514337247
1009,"Blount, AL",2021,-0.9999598983170519
1011,"Bullock, AL",2018,-1.0
1013,"Butler, AL",2021,-0.9999678704005346
1015,"Calhoun, AL",2010,-0.9930187211251466
1015,"Calhoun, AL",2011,-0.9937993710108888
1015,"Calhoun, AL",2012,-0.986646878068001
1015,"Calhoun, AL",2013,-0.987208221657197
1015,"Calhoun, AL",2014,-0.9853031931005917
1015,"Calhoun, AL",2015,-0.9894038048329165
1015,"Calhoun, AL",2016,-0.9896570288781117
1015,"Calhoun, AL",2017,-0.9896368227598992
1015,"Calhoun, AL",2018,-0.9863653491748688
1015,"Calhoun, AL",2019,-0.9911940298656112
1015,"Calhoun, AL",2020,-0.9927624549883143
1015,"Calhoun, AL",2021,-0.9921065392928282
1017,"Chambers, AL",2018,-1.0
1019,"Cherokee, AL",2021,-0.9999839352002674
1021,"Chilton, AL",2018,-1.0
1023,"Choctaw, AL",2018,-1.0
1025,"Clarke, AL",2018,-1.0
1027,"Clay, AL",2018,-1.0
1029,"Cleburne, AL",2016,-0.9998583906732166
1031,"Coffee, AL",2010,-0.9999808801345749
1031,"Coffee, AL",2014,-0.9999974924394449
1031,"Coffee, AL",2015,-0.9999925246736368
1031,"Coffee, AL",2016,-0.9999895970780386
1031,"Coffee, AL",2017,-0.9999798003688152
1031,"Coffee, AL",2018,-0.9999732014398935
1031,"Coffee, AL",2019,-0.9999841976005375
1031,"Coffee, AL",2020,-0.9996289569360707
1031,"Coffee, AL",2021,-0.9995520152736471
1033,"Colbert, AL",2018,-1.0
1035,"Conecuh, AL",2010,-0.9938192433715263
1035,"Conecuh, AL",2011,-0.9845715338966969
1035,"Conecuh, AL",2012,-0.9938317675515436
1035,"Conecuh, AL",2013,-0.9938317675515436
1035,"Conecuh, AL",2014,-0.9938317675515436
1037,"Coosa, AL",2018,-1.0
1039,"Covington, AL",2010,-0.9995516010769288
1039,"Covington, AL",2011,-0.9996354095825178
1039,"Covington, AL",2012,-0.9996354095825178
1039,"Covington, AL",2013,-0.9996354095825178
1039,"Covington, AL",2014,-0.9996354095825178
1039,"Covington, AL",2015,-0.9996354095825178
1039,"Covington, AL",2016,-0.9992708191650357
1039,"Covington, AL",2017,-0.9996354095825178
1039,"Covington, AL",2018,-0.9999189121538258
1039,"Covington, AL",2019,-0.9999189121538258
1039,"Covington, AL",2020,-0.9998783682307387
1039,"Covington, AL",2021,-0.9997161925383904
1041,"Crenshaw, AL",2018,-1.0
1043,"Cullman, AL",2010,-0.9943420588814912
1043,"Cullman, AL",2011,-0.9982080857452936
1043,"Cullman, AL",2012,-0.99291344509881
1043,"Cullman, AL",2013,-0.9967455529684542
1043,"Cullman, AL",2014,-0.9955515750812551
1043,"Cullman, AL",2015,-0.9970343833875035
1043,"Cullman, AL",2016,-0.9955515750812551
1043,"Cullman, AL",2017,-0.9955515750812551
1043,"Cullman, AL",2018,-0.993806194867765
1043,"Cullman, AL",2019,-0.9941423782406759
1043,"Cullman, AL",2020,-0.9930184791460396
1043,"Cullman, AL",2021,-0.9899454850345851
1045,"Dale, AL",2018,-1.0
1047,"Dallas, AL",2010,-0.9710274708454464
1047,"Dallas, AL",2011,-0.9539457244319329
1047,"Dallas, AL",2012,-0.9530117753781875
1047,"Dallas, AL",2013,-0.9539457244319329
1047,"Dallas, AL",2014,-0.9439877100753231
1047,"Dallas, AL",2015,-0.9536294818318536
1047,"Dallas, AL",2016,-0.9725304736451535
1047,"Dallas, AL",2017,-0.9212687738507817
1047,"Dallas, AL",2018,-0.920081410646251
1047,"Dallas, AL",2019,-0.902837665811395
1047,"Dallas, AL",2020,-0.965879243815213
1047,"Dallas, AL",2021,-0.9422059060965415
1049,"DeKalb, AL",2010,-0.9999270209384432
1049,"DeKalb, AL",2012,-0.9995251161646115
1049,"DeKalb, AL",2021,-0.9999754901573259
1051,"Elmore, AL",2010,-0.982729694503804
1051,"Elmore, AL",2011,-0.9748620294622572
1051,"Elmore, AL",2012,-0.9748620294622572
1051,"Elmore, AL",2013,-0.9850099474321007
1051,"Elmore, AL",2014,-0.9735570837787266
1051,"Elmore, AL",2015,-0.9933892709446817
1051,"Elmore, AL",2016,-0.9867785418893633
1051,"Elmore, AL",2017,-0.9867785418893633
1051,"Elmore, AL",2021,-0.9933892709446817
1053,"Escambia, AL",2010,-0.9991566296382963
1053,"Escambia, AL",2011,-0.9986427795249558
1053,"Escambia, AL",2012,-0.9991568716044293
1053,"Escambia, AL",2013,-0.9991399518144467
1053,"Escambia, AL",2014,-0.9993595495277378
1053,"Escambia, AL",2015,-0.9992096819973845
1053,"Escambia, AL",2016,-0.9994205424887633
1053,"Escambia, AL",2017,-0.9992928211844301
1053,"Escambia, AL",2018,-0.9993413944584805
1053,"Escambia, AL",2019,-0.9989535162667669
1053,"Escambia, AL",2020,-0.998398559260128
1053,"Escambia, AL",2021,-0.9983457853437295
1055,"Etowah, AL",2010,-0.9465008987756404
1055,"Etowah, AL",2011,-0.6256452361026046
1055,"Etowah, AL",2012,-0.9060130926946782
1055,"Etowah, AL",2013,-0.6321028172317267
1055,"Etowah, AL",2014,-0.7927395608624923
1055,"Etowah, AL",2015,-0.7119324121196586
1055,"Etowah, AL",2016,-0.6652983579778933
1055,"Etowah, AL",2017,-0.7054778158471281
1055,"Etowah, AL",2018,-0.4254255956423958
1055,"Etowah, AL",2019,-0.6378282336942431
1055,"Etowah, AL",2020,-0.8139997072797645
1055,"Etowah, AL",2021,-0.8309759470271589
1057,"Fayette, AL",2018,-1.0
1059,"Franklin, AL",2014,-0.9996509362833031
1061,"Geneva, AL",2018,-1.0
1063,"Greene, AL",2012,-0.9999724609456823
1063,"Greene, AL",2016,-0.999211826135187
1063,"Greene, AL",2017,-0.999211826135187
1063,"Greene, AL",2018,-0.9982939117164955
1063,"Greene, AL",2019,-0.998985236852649
1063,"Greene, AL",2020,-0.9984751917054026
1063,"Greene, AL",2021,-0.9947947064833503
1065,"Hale, AL",2018,-1.0
1067,"Henry, AL",2018,-1.0
1069,"Houston, AL",2010,-0.9565918272179208
1069,"Houston, AL",2011,-0.977599480652071
1069,"Houston, AL",2012,-0.9524275926900305
1069,"Houston, AL",2013,-0.9570707126022906
1069,"Houston, AL",2014,-0.9622075989717874
1069,"Houston, AL",2015,-0.9836157414638192
1069,"Houston, AL",2016,-0.9527491862705918
1069,"Houston, AL",2017,-0.9636849427875431
1069,"Houston, AL",2018,-0.9562406139532406
1069,"Houston, AL",2019,-0.9575109532706712
1069,"Houston, AL",2020,-0.9546532978436668
1069,"Houston, AL",2021,-0.9753030925527653
1071,"Jackson, AL",2010,-0.9933245290168288
1071,"Jackson, AL",2011,-0.9799735870504863
1071,"Jackson, AL",2012,-0.9933245290168288
1071,"Jackson, AL",2013,-0.9732981160673151
1071,"Jackson, AL",2014,-0.9732981160673151
1071,"Jackson, AL",2015,-0.9599471741009726
1071,"Jackson, AL",2016,-0.9799735870504863
1071,"Jackson, AL",2017,-0.9732981160673151
1071,"Jackson, AL",2018,-0.9594297376343717
1071,"Jackson, AL",2019,-0.9689390300139312
1071,"Jackson, AL",2020,-0.978063487908684
1071,"Jackson, AL",2021,-0.9687447249199719
1073,"Jefferson, AL",2010,0.0008814814489908766
1073,"Jefferson, AL",2011,0.0008376956035938568
1073,"Jefferson, AL",2012,0.0002832672282409456
1073,"Jefferson, AL",2013,0.0005144497034161699
1073,"Jefferson, AL",2014,0.0007280147763665426
1073,"Jefferson, AL",2015,0.0005329851243517978
1073,"Jefferson, AL",2016,0.0010446807418832066
1073,"Jefferson, AL",2017,0.002034947405417857
1073,"Jefferson, AL",2018,0.002741832940353449
1073,"Jefferson, AL",2019,0.003165686821674345
1073,"Jefferson, AL",2020,0.003646743176044197
1073,"Jefferson, AL",2021,0.003986091647791032
1075,"Lamar, AL",2018,-1.0
1077,"Lauderdale, AL",2010,-0.990727894760122
1077,"Lauderdale, AL",2011,-0.9943455161429007
1077,"Lauderdale, AL",2012,-0.9851168573525896
1077,"Lauderdale, AL",2013,-0.9935563045839462
1077,"Lauderdale, AL",2014,-0.9963594896946443
1077,"Lauderdale, AL",2015,-0.9991626748053424
1077,"Lauderdale, AL",2016,-0.9970847707588484
1077,"Lauderdale, AL",2017,-0.998084117296761
1077,"Lauderdale, AL",2018,-0.998349362871389
1077,"Lauderdale, AL",2019,-0.9989017457930037
1077,"Lauderdale, AL",2020,-0.9987329198301531
1077,"Lauderdale, AL",2021,-0.9991113617675805
1079,"Lawrence, AL",2018,-1.0
1081,"Lee, AL",2010,-0.969252179959236
1081,"Lee, AL",2011,-0.9675938768278133
1081,"Lee, AL",2012,-0.9663212532365644
1081,"Lee, AL",2013,-0.9674885289998107
1081,"Lee, AL",2014,-0.9577525604115422
1081,"Lee, AL",2015,-0.9796991739012852
1081,"Lee, AL",2016,-0.9572681638819767
1081,"Lee, AL",2017,-0.9507519475117749
1081,"Lee, AL",2018,-0.9128501623815194
1081,"Lee, AL",2019,-0.9151922878501704
1081,"Lee, AL",2020,-0.9463544593118284
1081,"Lee, AL",2021,-0.9402175749316887
1083,"Limestone, AL",2012,-0.99998443243094
1083,"Limestone, AL",2021,-0.9999912425807269
1085,"Lowndes, AL",2010,-0.9924136559423475
1085,"Lowndes, AL",2011,-0.9886204839135213
1085,"Lowndes, AL",2012,-0.9924136559423475
1085,"Lowndes, AL",2013,-0.9962068279711738
1085,"Lowndes, AL",2014,-0.9934944005944818
1085,"Lowndes, AL",2015,-0.9967472002972408
1085,"Lowndes, AL",2016,-0.9934944005944818
1085,"Lowndes, AL",2017,-0.9869888011889637
1085,"Lowndes, AL",2018,-0.9837360014862044
