GeoFIPS,GeoName,proximity_to_hazardous_waste_sites
1001,"Autauga, AL",0.04200961410752857
1003,"Baldwin, AL",-0.009372730567951404
1005,"Barbour, AL",-0.06756136643757715
1007,"Bibb, AL",-0.024447662950772386
1009,"Blount, AL",-0.04293155116613523
1011,"Bullock, AL",-0.013989946107987983
1013,"Butler, AL",-0.06875731386481554
1015,"Calhoun, AL",0.09032435852600207
1017,"Chambers, AL",-0.02569773876668724
1019,"Cherokee, AL",-0.04346395935790803
1021,"Chilton, AL",-0.026182884318324384
1023,"Choctaw, AL",-0.06765238532046525
1025,"Clarke, AL",-0.06815485982349423
1027,"Clay, AL",0.025181669040564403
1029,"Cleburne, AL",-0.06337396475084567
1031,"Coffee, AL",-0.01583048395502995
1033,"Colbert, AL",0.0010641846582386538
1035,"Conecuh, AL",-0.06751023382597865
1037,"Coosa, AL",-0.056443582028544936
1039,"Covington, AL",-0.03395381076940984
1041,"Crenshaw, AL",-0.06639050474673658
1043,"Cullman, AL",-0.008721937611141928
1045,"Dale, AL",0.014246581799644886
1047,"Dallas, AL",-0.06864413032027894
1049,"DeKalb, AL",-0.04201671274335339
1051,"Elmore, AL",-0.024676495078981953
1053,"Escambia, AL",-0.043030345987119856
1055,"Etowah, AL",0.0010712005801394309
1057,"Fayette, AL",-0.03257769663179522
1059,"Franklin, AL",0.012685109693624685
1061,"Geneva, AL",-0.051229334479075406
1063,"Greene, AL",-0.0649003621709291
1065,"Hale, AL",-0.01604758790650518
1067,"Henry, AL",-0.06251223910444315
1069,"Houston, AL",-0.005926843854103692
1071,"Jackson, AL",-0.04001526628534746
1073,"Jefferson, AL",0.24757435886214263
1075,"Lamar, AL",-0.0408899338775931
1077,"Lauderdale, AL",0.03684625403674291
1079,"Lawrence, AL",-0.06179248739857368
1081,"Lee, AL",0.06826495573915126
1083,"Limestone, AL",-0.02089253600918861
1085,"Lowndes, AL",-0.061573180425223084
1087,"Macon, AL",-0.052297353447159356
1089,"Madison, AL",0.09167574121694555
1091,"Marengo, AL",-0.04671561897336152
1093,"Marion, AL",-0.0226807621167332
1095,"Marshall, AL",0.051823043998107554
1097,"Mobile, AL",0.16592485079983788
1099,"Monroe, AL",-0.06648601390019793
1101,"Montgomery, AL",0.11152791946001384
1103,"Morgan, AL",0.025266029738549634
1105,"Perry, AL",-0.06522159998303723
1107,"Pickens, AL",-0.02106590897483518
1109,"Pike, AL",0.047735669855060614
1111,"Randolph, AL",-0.06572530380696395
1113,"Russell, AL",-0.004478566548368312
1115,"St. Clair, AL",-0.01383540650861792
