GeoFIPS,GeoName,homeownership_rate
1001,"Autauga, AL",0.030986299221505975
1003,"Baldwin, AL",0.08847118567182433
1005,"Barbour, AL",-0.2073437878348019
1007,"Bibb, AL",0.12138636570484374
1009,"Blount, AL",0.12925076100444333
1011,"Bullock, AL",-0.15462346218514733
1013,"Butler, AL",-0.006158961648144334
1015,"Calhoun, AL",-0.03448101469693743
1017,"Chambers, AL",-0.06891197266631122
1019,"Cherokee, AL",0.11559486765995763
1021,"Chilton, AL",0.021850455668269486
1023,"Choctaw, AL",0.20997855528700837
1025,"Clarke, AL",-0.0035906494077746487
1027,"Clay, AL",0.07637415617040078
1029,"Cleburne, AL",0.09016132147208777
1031,"Coffee, AL",-0.07184440432245942
1033,"Colbert, AL",-0.012080180445472988
1035,"Conecuh, AL",0.11641368233610794
1037,"Coosa, AL",0.15711262315835017
1039,"Covington, AL",0.04036709458260779
1041,"Crenshaw, AL",0.04750881703895771
1043,"Cullman, AL",0.03794754608823969
1045,"Dale, AL",-0.2557090490462508
1047,"Dallas, AL",-0.23512789516978438
1049,"DeKalb, AL",0.01512668733996203
1051,"Elmore, AL",0.058793592550046014
1053,"Escambia, AL",-0.12067184638455464
1055,"Etowah, AL",0.0062791270019812995
1057,"Fayette, AL",0.04707858042594415
1059,"Franklin, AL",-0.04416544891049512
1061,"Geneva, AL",0.02505764413792999
1063,"Greene, AL",-0.0676640016512352
1065,"Hale, AL",0.10564958056259544
1067,"Henry, AL",0.2251845083977566
1069,"Houston, AL",-0.14309432419598
1071,"Jackson, AL",0.05814984169242354
1073,"Jefferson, AL",-0.17514361991161154
1075,"Lamar, AL",-0.007568804556311259
1077,"Lauderdale, AL",-0.11511146718342302
1079,"Lawrence, AL",0.11232391009248288
1081,"Lee, AL",-0.17157555780227474
1083,"Limestone, AL",0.10714391738873075
1085,"Lowndes, AL",0.07986081121079991
1087,"Macon, AL",-0.13549313392342255
1089,"Madison, AL",-0.10589898608659953
1091,"Marengo, AL",-0.03467381612285636
1093,"Marion, AL",0.02104008894864906
1095,"Marshall, AL",0.04287569547539016
1097,"Mobile, AL",-0.1816698479973451
1099,"Monroe, AL",-0.0055005365068436785
1101,"Montgomery, AL",-0.30120945966227297
1103,"Morgan, AL",-0.01423658826444929
1105,"Perry, AL",0.002978219141780425
1107,"Pickens, AL",0.07077089442709172
1109,"Pike, AL",-0.2165979157494171
1111,"Randolph, AL",0.14094851028806477
1113,"Russell, AL",-0.21206189738686565
1115,"St. Clair, AL",0.14492711624808297
1117,"Shelby, AL",0.16385967486770414
1119,"Sumter, AL",-0.13497094426342704
1121,"Talladega, AL",-0.037023320005690974
1123,"Tallapoosa, AL",0.07222996056866915
1125,"Tuscaloosa, AL",-0.18836441539869675
1127,"Walker, AL",0.08400296073502589
1129,"Washington, AL",0.35767326792272813
1131,"Wilcox, AL",0.09318190753293831
1133,"Winston, AL",0.14346331780270405
2013,"Aleutians East Borough, AK",-0.21496764048943995
2016,"Aleutians West Census Area, AK",-0.6916602371917431
2020,"Anchorage Municipality, AK",-0.19442544989133914
2050,"Bethel Census Area, AK",-0.29909388452533325
