GeoFIPS,GeoName,Housing_burden,Energy_burden
1001,"Autauga, AL",0.006901001113216898,-0.10431999148111037
1003,"Baldwin, AL",-0.04905232475283061,-0.1457629729515032
1005,"Barbour, AL",0.10179820078706081,0.13738718501644498
1007,"Bibb, AL",-0.0118361588848237,0.19143291914709004
1009,"Blount, AL",-0.14147624355586608,0.0241935254250476
1011,"Bullock, AL",0.22481300050890507,0.3070715274428528
1013,"Butler, AL",0.06050212745590566,0.22053695923925165
1015,"Calhoun, AL",0.01682457041962615,0.05468918936405642
1017,"Chambers, AL",0.08498353636923661,0.09628917214175914
1019,"Cherokee, AL",-0.10586853452738643,0.2617976807122617
1021,"Chilton, AL",0.018545899961494472,0.005849002121525171
1023,"Choctaw, AL",-0.039189413070525925,0.01135693011145178
1025,"Clarke, AL",0.030373270497444427,0.12151761101017522
1027,"Clay, AL",-0.2198212681153715,0.08927465880647345
1029,"Cleburne, AL",-0.047209481614090776,0.1357310735533237
1031,"Coffee, AL",-0.07548904177375138,-0.061824894999868096
1033,"Colbert, AL",0.055648908155790044,-0.011351929507645964
1035,"Conecuh, AL",-0.12092477264959756,0.19347231538602006
1037,"Coosa, AL",-0.07226110825884924,0.24661447211281495
1039,"Covington, AL",-0.10336843980582955,0.010988820062157512
1041,"Crenshaw, AL",-0.16465793063200684,0.26104262920978627
1043,"Cullman, AL",-0.04347639494491318,0.04224154416159198
1045,"Dale, AL",0.06574182776104154,-0.009662258552363578
1047,"Dallas, AL",0.24544263357433294,0.35871233038271466
1049,"DeKalb, AL",-0.0980919391065308,0.05099737223009693
1051,"Elmore, AL",-0.04799761167101502,-0.08135279550585595
1053,"Escambia, AL",0.014818272066199123,0.08966904388950492
1055,"Etowah, AL",-0.0556440886939461,0.11865601274322479
1057,"Fayette, AL",-0.01245641873010106,0.17389307353536854
1059,"Franklin, AL",-0.09022647420122276,0.10745947003945955
1061,"Geneva, AL",-0.039054039106105165,0.1309860270356069
1063,"Greene, AL",0.49078906917049925,0.5582274621767835
1065,"Hale, AL",0.2072215730851592,0.21050627411592404
1067,"Henry, AL",-0.15394896416239368,0.08564905363349329
1069,"Houston, AL",0.04186815895547613,-0.10166763231213605
1071,"Jackson, AL",-0.08615810780813227,0.10081003468138738
1073,"Jefferson, AL",0.1939837985370041,0.02436800835853692
1075,"Lamar, AL",-0.18541136810509817,0.1307935871663113
1077,"Lauderdale, AL",-0.03856449381259108,-0.04122566714129494
1079,"Lawrence, AL",-0.1001372411678898,0.08741607636713322
1081,"Lee, AL",0.2870014196508064,-0.07110998275497837
1083,"Limestone, AL",-0.048454019527995884,-0.1298741238664305
