GeoFIPS,GeoName,median_rent
1001,"Autauga, AL",0.009539667535262586
1003,"Baldwin, AL",0.009539496632885003
1005,"Barbour, AL",0.009537160967000524
1007,"Bibb, AL",0.009537765698515388
1009,"Blount, AL",0.009537629853030749
1011,"Bullock, AL",0.009537125910100919
1013,"Butler, AL",0.009537568503456884
1015,"Calhoun, AL",0.009537945365123424
1017,"Chambers, AL",0.009538103121169206
1019,"Cherokee, AL",0.009537480861208758
1021,"Chilton, AL",0.009537980422022585
1023,"Choctaw, AL",0.009537112763763567
1025,"Clarke, AL",0.009537581649794236
1027,"Clay, AL",0.009536937479265317
1029,"Cleburne, AL",0.009537840194426161
1031,"Coffee, AL",0.009538449308045482
1033,"Colbert, AL",0.009537962893573004
1035,"Conecuh, AL",0.009537559739231982
1037,"Coosa, AL",0.009537182877563
1039,"Covington, AL",0.009537485243320987
1041,"Crenshaw, AL",0.009537020739402102
1043,"Cullman, AL",0.009538129413843244
1045,"Dale, AL",0.009538046153708235
1047,"Dallas, AL",0.009537594796131588
1049,"DeKalb, AL",0.009537410747409769
1051,"Elmore, AL",0.009538716616897647
1053,"Escambia, AL",0.009537301194598724
1055,"Etowah, AL",0.00953782704808881
1057,"Fayette, AL",0.009537042649964356
1059,"Franklin, AL",0.009537025121514553
1061,"Geneva, AL",0.009537463332758955
1063,"Greene, AL",0.009537401983184868
1065,"Hale, AL",0.009537340633611002
1067,"Henry, AL",0.009537384454735065
1069,"Houston, AL",0.009538173234967084
1071,"Jackson, AL",0.009537489625433437
1073,"Jefferson, AL",0.009539172356576975
1075,"Lamar, AL",0.009536582528153925
1077,"Lauderdale, AL",0.00953780075541455
1079,"Lawrence, AL",0.009537445804309153
1081,"Lee, AL",0.00953858953564013
1083,"Limestone, AL",0.009538186381304214
1085,"Lowndes, AL",0.009537743787953357
1087,"Macon, AL",0.009537428275859572
1089,"Madison, AL",0.009538983925748479
1091,"Marengo, AL",0.009537489625433437
1093,"Marion, AL",0.00953695938982757
1095,"Marshall, AL",0.009537682438379713
1097,"Mobile, AL",0.0095386771778867
1099,"Monroe, AL",0.009537445804309153
1101,"Montgomery, AL",0.009538918194063939
1103,"Morgan, AL",0.009537879633437774
1105,"Perry, AL",0.009536867365465662
1107,"Pickens, AL",0.009536946243489997
1109,"Pike, AL",0.009537699966829294
1111,"Randolph, AL",0.009537498389658339
1113,"Russell, AL",0.009538392340584956
1115,"St. Clair, AL",0.00953898830786093
1117,"Shelby, AL",0.009539987429455277
1119,"Sumter, AL",0.00953778760907742
1121,"Talladega, AL",0.009537699966829294
1123,"Tallapoosa, AL",0.009537485243320987
1125,"Tuscaloosa, AL",0.009538681559999151
1127,"Walker, AL",0.009537472096983635
1129,"Washington, AL",0.009537472096983635
1131,"Wilcox, AL",0.00953786210498797
1133,"Winston, AL",0.009537393218959966
2013,"Aleutians East Borough, AK",0.009538948868850206
2016,"Aleutians West Census Area, AK",0.00954174027431165
2020,"Anchorage Municipality, AK",0.009540570250376579
2050,"Bethel Census Area, AK",0.009540583396713043
2060,"Bristol Bay Borough, AK",0.009539597421466706
2068,"Denali Borough, AK",0.009538195145528894
2070,"Dillingham Census Area, AK",0.009539259998822658
2090,"Fairbanks North Star Borough, AK",0.009540373055328732
2100,"Haines Borough, AK",0.009538309080450169
2110,"Juneau City and Borough, AK",0.009540828794993628
2122,"Kenai Peninsula Borough, AK",0.009539347641068119
2130,"Ketchikan Gateway Borough, AK*",0.009540000575791963
2150,"Kodiak Island Borough, AK",0.009541626339397924
