GeoFIPS,GeoName,proximity_to_risk_management_plan_facilities
1001,"Autauga, AL",-0.13210681696001236
1003,"Baldwin, AL",-0.12387888263549207
1005,"Barbour, AL",-0.07319743122688638
1007,"Bibb, AL",-0.14873632913339319
1009,"Blount, AL",-0.13446602828035026
1011,"Bullock, AL",-0.022419929024932395
1013,"Butler, AL",-0.15198559758340224
1015,"Calhoun, AL",-0.014136497645369284
1017,"Chambers, AL",-0.07998295572897607
1019,"Cherokee, AL",-0.11477388354233664
1021,"Chilton, AL",-0.12396648542670574
1023,"Choctaw, AL",-0.13868782026244664
1025,"Clarke, AL",-0.08995445971477778
1027,"Clay, AL",-0.10930361265725708
1029,"Cleburne, AL",-0.12942775662419803
1031,"Coffee, AL",-0.12810592079496685
1033,"Colbert, AL",-0.014719970453704101
1035,"Conecuh, AL",-0.1357042201211156
1037,"Coosa, AL",-0.13758288498639315
1039,"Covington, AL",-0.1081724625970274
1041,"Crenshaw, AL",-0.11670094573890266
1043,"Cullman, AL",-0.08990918642868095
1045,"Dale, AL",-0.07475727671357202
1047,"Dallas, AL",-0.053623078546442104
1049,"DeKalb, AL",-0.08107127742585196
1051,"Elmore, AL",-0.10910929521792334
1053,"Escambia, AL",-0.11097841686237819
1055,"Etowah, AL",0.09328023642463079
1057,"Fayette, AL",-0.1513694421569617
1059,"Franklin, AL",-0.06284811889525366
1061,"Geneva, AL",-0.08455687130176348
1063,"Greene, AL",-0.08634771840810584
1065,"Hale, AL",-0.11876863357970047
1067,"Henry, AL",-0.10802382401156208
1069,"Houston, AL",0.1657149206976496
1071,"Jackson, AL",-0.08579357699056678
1073,"Jefferson, AL",0.044633166209739894
1075,"Lamar, AL",-0.14888606442852292
1077,"Lauderdale, AL",0.10021410659484209
1079,"Lawrence, AL",-0.13944157892794296
1081,"Lee, AL",-0.04376308039363641
1083,"Limestone, AL",-0.06354726684859402
1085,"Lowndes, AL",-0.13917943131220434
1087,"Macon, AL",-0.13573640903752626
1089,"Madison, AL",-0.0897709231589191
1091,"Marengo, AL",-0.0504492441876595
1093,"Marion, AL",-0.117330521548205
1095,"Marshall, AL",0.1542023241904933
1097,"Mobile, AL",0.03535976816576003
1099,"Monroe, AL",-0.03372606688015878
1101,"Montgomery, AL",-0.02332619047716633
1103,"Morgan, AL",0.022900286876494924
1105,"Perry, AL",-0.1516585317839757
1107,"Pickens, AL",-0.1359047496688791
1109,"Pike, AL",0.09102294993913596
1111,"Randolph, AL",-0.14846588053501786
1113,"Russell, AL",0.11131930964191272
1115,"St. Clair, AL",-0.09694276731240814
1117,"Shelby, AL",-0.11227754715400051
1119,"Sumter, AL",-0.14827663908474675
1121,"Talladega, AL",-0.045548300853306634
1123,"Tallapoosa, AL",-0.10278274535810661
1125,"Tuscaloosa, AL",-0.03194560457762341
1127,"Walker, AL",-0.08721682194015179
1129,"Washington, AL",-0.0990110326941046
1131,"Wilcox, AL",-0.15277360710753018
1133,"Winston, AL",-0.14234911844333864
2013,"Aleutians East Borough, AK",0.15209037952233517
2016,"Aleutians West Census Area, AK",0.4619173481725538
2020,"Anchorage Municipality, AK",0.0883486351476197
2050,"Bethel Census Area, AK",-0.15883015704741577
2060,"Bristol Bay Borough, AK",0.010512554623160142
2068,"Denali Borough, AK",-0.15883015704741577
2070,"Dillingham Census Area, AK",-0.12200177470541951
2090,"Fairbanks North Star Borough, AK",-0.0956972619871348
2100,"Haines Borough, AK",-0.15580334641003535
2110,"Juneau City and Borough, AK",-0.15535001540298232
2122,"Kenai Peninsula Borough, AK",-0.13154674953086498
2130,"Ketchikan Gateway Borough, AK*",0.3982557397846773
2150,"Kodiak Island Borough, AK",0.3712509816788758
2164,"Lake and Peninsula Borough, AK",-0.15883015704741577
