GeoFIPS,GeoName,burdens_housing
1001,"Autauga, AL",0.006901001113216898
1003,"Baldwin, AL",-0.04905232475283061
1005,"Barbour, AL",0.10179820078706081
1007,"Bibb, AL",-0.0118361588848237
1009,"Blount, AL",-0.14147624355586608
1011,"Bullock, AL",0.22481300050890507
1013,"Butler, AL",0.06050212745590566
1015,"Calhoun, AL",0.01682457041962615
1017,"Chambers, AL",0.08498353636923661
1019,"Cherokee, AL",-0.10586853452738643
1021,"Chilton, AL",0.018545899961494472
1023,"Choctaw, AL",-0.039189413070525925
1025,"Clarke, AL",0.030373270497444427
1027,"Clay, AL",-0.2198212681153715
1029,"Cleburne, AL",-0.047209481614090776
1031,"Coffee, AL",-0.07548904177375138
1033,"Colbert, AL",0.055648908155790044
1035,"Conecuh, AL",-0.12092477264959756
1037,"Coosa, AL",-0.07226110825884924
1039,"Covington, AL",-0.10336843980582955
1041,"Crenshaw, AL",-0.16465793063200684
1043,"Cullman, AL",-0.04347639494491318
1045,"Dale, AL",0.06574182776104154
1047,"Dallas, AL",0.24544263357433294
1049,"DeKalb, AL",-0.0980919391065308
1051,"Elmore, AL",-0.04799761167101502
1053,"Escambia, AL",0.014818272066199123
1055,"Etowah, AL",-0.0556440886939461
1057,"Fayette, AL",-0.01245641873010106
1059,"Franklin, AL",-0.09022647420122276
1061,"Geneva, AL",-0.039054039106105165
1063,"Greene, AL",0.49078906917049925
1065,"Hale, AL",0.2072215730851592
1067,"Henry, AL",-0.15394896416239368
1069,"Houston, AL",0.04186815895547613
1071,"Jackson, AL",-0.08615810780813227
1073,"Jefferson, AL",0.1939837985370041
1075,"Lamar, AL",-0.18541136810509817
1077,"Lauderdale, AL",-0.03856449381259108
1079,"Lawrence, AL",-0.1001372411678898
1081,"Lee, AL",0.2870014196508064
1083,"Limestone, AL",-0.048454019527995884
1085,"Lowndes, AL",0.2650532022455283
1087,"Macon, AL",0.25300301461329355
1089,"Madison, AL",0.017703309017978786
1091,"Marengo, AL",0.14321236224165323
1093,"Marion, AL",-0.041730671993750246
1095,"Marshall, AL",-0.005885012919522481
1097,"Mobile, AL",0.15383542920480253
1099,"Monroe, AL",-0.0901170854944261
1101,"Montgomery, AL",0.26143439183741224
1103,"Morgan, AL",-0.06742061814394573
1105,"Perry, AL",0.5286870793058649
1107,"Pickens, AL",0.08182662356667825
1109,"Pike, AL",0.2742673242267335
1111,"Randolph, AL",-0.17093158268858333
1113,"Russell, AL",0.1954637026774917
1115,"St. Clair, AL",-0.024538270337437718
1117,"Shelby, AL",-0.14823591144390724
1119,"Sumter, AL",0.5088671632118116
1121,"Talladega, AL",0.03433476634364108
1123,"Tallapoosa, AL",0.06880864818644783
1125,"Tuscaloosa, AL",0.1517320569920695
1127,"Walker, AL",-0.07293035065125153
1129,"Washington, AL",-0.18731043040496176
1131,"Wilcox, AL",0.009976634666392092
1133,"Winston, AL",-0.21734101736501588
2013,"Aleutians East Borough, AK",-0.1872384982085441
2016,"Aleutians West Census Area, AK",-0.3280449710521657
2020,"Anchorage Municipality, AK",0.08435668636721494
2050,"Bethel Census Area, AK",-0.1469352863762684
2060,"Bristol Bay Borough, AK",-0.2868827036387621
2068,"Denali Borough, AK",-0.380683161678149
2070,"Dillingham Census Area, AK",-0.07505433997820321
2090,"Fairbanks North Star Borough, AK",0.15973019538256406
2100,"Haines Borough, AK",0.09211044919767497
2110,"Juneau City and Borough, AK",-0.11732702385706062
2122,"Kenai Peninsula Borough, AK",0.027372573276681855
2130,"Ketchikan Gateway Borough, AK*",0.20416163637686524
2150,"Kodiak Island Borough, AK",0.03539528901746647
2164,"Lake and Peninsula Borough, AK",-0.22099746977857615
2170,"Matanuska-Susitna Borough, AK",0.09199773147887114
2180,"Nome Census Area, AK",0.030173140134715393
2185,"North Slope Borough, AK",-0.1405178530057518
2188,"Northwest Arctic Borough, AK",-0.027702035287292648
2220,"Sitka City and Borough, AK",0.040714680264817504
2240,"Southeast Fairbanks Census Area, AK",-0.27536292974253673
2290,"Yukon-Koyukuk Census Area, AK",-0.07254146957252239
4001,"Apache, AZ",-0.24376405550458302
4003,"Cochise, AZ",0.005533205006475361
4005,"Coconino, AZ",0.23916398795709104
4007,"Gila, AZ",-0.07916315548843134
4009,"Graham, AZ",-0.16808938117295025
4011,"Greenlee, AZ",-0.3295122683538967
4012,"La Paz, AZ",-0.170180444969097
4013,"Maricopa, AZ",0.13632267396947073
4015,"Mohave, AZ",0.018565782467862446
4017,"Navajo, AZ",-0.08073235128671641
4019,"Pima, AZ",0.19909893882058638
4021,"Pinal, AZ",0.060053011202353845
4023,"Santa Cruz, AZ",0.30780647881400314
4025,"Yavapai, AZ",0.09414133548893378
4027,"Yuma, AZ",0.11103329319511213
5001,"Arkansas, AR",0.033214706069277344
5003,"Ashley, AR",-0.013844010457457645
5005,"Baxter, AR",-0.04889952064872849
5007,"Benton, AR",-0.10832137184420743
5009,"Boone, AR",-0.0863396622812338
5011,"Bradley, AR",-0.04849648315255184
5013,"Calhoun, AR",-0.21110022457973288
5015,"Carroll, AR",-0.18343194192644308
5017,"Chicot, AR",0.1562981166282722
5019,"Clark, AR",0.0669200083421071
5021,"Clay, AR",0.08935302209906815
5023,"Cleburne, AR",-0.08527926960909193
5025,"Cleveland, AR",-0.09793942411278789
5027,"Columbia, AR",0.07330638266917866
5029,"Conway, AR",-0.014112925556755807
5031,"Craighead, AR",0.097283991690722
5033,"Crawford, AR",-0.07565711253002616
5035,"Crittenden, AR",0.25845856527814237
5037,"Cross, AR",-0.11994398880413382
